order,staggered_order,susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,specific_heat_std,J,B,k_B
0.9998007812500008,5.0781250000000004e-05,0.00037148437384306734,0.00786060934965504,0.9666666664142912,50,1.375532567315859e-05,8.377972886534068e-06,2.354182508032362e-05,0.000498145019476967,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9952773437500003,0.00019921875000000001,0.01104828124901438,0.09347144722062375,0.9666666559292485,75,8.93242453132846e-05,5.061571577675999e-05,0.0007069633496265339,0.005460470250135085,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9850312499999996,0.00046875000000000015,0.04097437500023489,0.21538390046308992,0.9666666301522591,90,0.00016301750529085479,0.00013281250000000004,0.0015885394269240874,0.007879190979056242,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9732031250000002,0.00052734375,0.06617109374999189,0.26112759375026445,0.9666665927108666,100,0.0002292739154816936,0.00012087303474035784,0.0023307219248752133,0.007036666289729477,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9649375000000001,0.0005703125000000002,0.09518960937492285,0.32885135558372836,0.9666666310725358,105,0.0001576548175728014,0.00016038950240108844,0.004807650875151123,0.016628872121178494,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.954662109375,0.000728515625,0.1395429296874001,0.4118096497283884,0.966666469719752,110,0.00036677222610874004,0.00014400373538788524,0.003984475222586293,0.010152843800592054,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9481621093749999,0.0005527343749999998,0.1722957421875977,0.452507727148712,0.9666663117352633,113,0.0004889093616322133,0.00011117553962248872,0.01098616561301973,0.02632747294709843,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9427519531249999,0.0007636718750000001,0.19721980468774003,0.4845516313211006,0.9666664824428965,115,0.0003504806487963111,0.0001797819469855471,0.00770850378463917,0.01891232837408781,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9303671875000001,0.0007812500000000002,0.24593101562493835,0.5233704768877371,0.9666665041995238,120,0.00032480415899310003,0.00010294284338362843,0.014408232056843887,0.02813027212088014,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.91371484375,0.0004765625000000001,0.29240476562488327,0.541060044499946,0.966666263595476,125,0.0005027906740523983,9.310487670582166e-05,0.011684034791276568,0.01882450656851805,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.8775566406249998,0.000806640625,0.45746652343778305,0.6370582919665597,0.9666660944338983,135,0.0005747927748404613,0.0001672415672651063,0.018106223135933533,0.020354191082794793,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.8045781249999999,0.0009609374999999998,0.8661971874999679,0.7533234812499311,0.9666652226341406,150,0.0008378847064185057,0.00029326547473556273,0.03244915921198729,0.02586659655794463,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.6576250000000001,0.0013828124999999997,1.691615156249907,0.7811578025510374,0.9666646484208538,175,0.0008083446174175047,0.0002428292907643659,0.09931432877843435,0.04322717043609688,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.5122597656249999,0.0012050781250000004,1.9986197265625183,0.5269990102538957,0.9666565099435462,200,0.001417815531709962,0.00029162517434126007,0.11295355025823108,0.03015801317542574,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.40059179687500013,0.0013925781249999997,2.3044364453124517,0.40898327291666464,0.9666539000979479,225,0.0012304162005147864,0.0003674268875575048,0.08394111564936893,0.010561657718022479,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.31976171875,0.0013867187500000001,2.264551953125007,0.2547735243750039,0.9666124481470006,250,0.0020453962036443736,0.0004139703612107243,0.06748032228850757,0.007812284328340961,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.261556640625,0.001771484375,2.357642382812521,0.19774964488636632,0.9666355970486948,275,0.0012681273788347157,0.00033798713849218114,0.0985447063338157,0.008175247144183894,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.2219140625,0.0019960937499999996,1.9235074218749986,0.1392468077256934,0.9666098156821228,300,0.0014542192830328308,0.00029136016726778643,0.06807125366289403,0.0053883992117754334,6.903245000000001e-22,4.141947e-22,1.380649e-23
