order,staggered_order,susceptibility,staggered_susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,staggered_susceptibility_std,specific_heat_std,J,B,k_B
0.9998437500000007,0.000125,0.000304999999872102,0.0003075,0.006453800002326765,0.933333332030843,50,3.1250000000004886e-05,2.795084971874737e-05,6.0000651043148376e-05,6.12761423802119e-05,0.0012696137758583218,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9950000000000003,0.0005624999999999998,0.01104437500020632,0.009268125000000006,0.09150087777875222,0.9333332748124227,75,0.00020846350100195578,0.00014217891457596647,0.0006879033759531416,0.0008365573753111625,0.006571548855888472,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9850156250000002,0.00035937500000000005,0.04054968750021439,0.02360218750000001,0.20753013503128442,0.9333331974782348,90,0.0003143694084989822,0.000128086884574495,0.002599745946125334,0.0011259190343337305,0.011690048432734941,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9735781250000001,0.0009531249999999998,0.07044281250026811,0.03749781249999999,0.27309085312505393,0.933333063143222,100,0.0004382805536981483,0.00019936422384670725,0.002552680905377513,0.0019115819181210847,0.011475192117800983,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9652656249999998,0.00045312500000000024,0.10625656250033177,0.05251656249999996,0.35779378968245046,0.9333332169057232,105,0.0002852151052275985,0.0001387021313823258,0.005336131144032264,0.0031955446462125156,0.017024496433966547,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9546562499999999,0.0013437500000000001,0.14470625000021445,0.062366249999999956,0.4214229855370986,0.9333326838728938,110,0.0006664387631283458,0.00048129058270446134,0.006864679213401484,0.002260401115537899,0.006885730325633254,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9496718749999999,0.001234375,0.15411781250019843,0.06597406249999992,0.4143849679887757,0.9333325549996158,113,0.0007253097398697857,0.000423549915889497,0.014728431533245361,0.0025025760399910967,0.03984363142871922,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.943,0.0009062500000000002,0.20323937500015354,0.06896687499999994,0.48856922022670324,0.9333305313428354,115,0.001366915151445049,0.0002386076146102634,0.019930605966196144,0.004594939076547968,0.036451189583897696,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9292031250000002,0.001421875,0.23081593749990356,0.07624343749999996,0.48072013671869607,0.9333277967371937,120,0.0018942243630309375,0.0006375306365187481,0.015096400287519593,0.0034634822726737,0.030837133983665728,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.9190000000000002,0.0011874999999999998,0.27665499999996657,0.10549374999999991,0.5301198079999889,0.9333319720693422,125,0.0009287087810502695,0.0001257788237343633,0.01067506594313872,0.00826608235974727,0.020126004566781836,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.8765625000000001,0.002,0.4865799999998873,0.1440374999999999,0.658454945130291,0.9333319175887488,135,0.0009035520184249966,0.00022273162101506825,0.014058280202937416,0.009023000579248841,0.02542485380756004,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.803546875,0.0025156249999999996,0.9866159375000338,0.1772059374999999,0.8437998875000077,0.9332780685670026,150,0.005197824815487814,0.00033395125018481343,0.05019451896826982,0.005131757138459002,0.055139245603703084,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.652140625,0.002953125,1.7694303125000246,0.27812781249999985,0.7985212173469517,0.9332763094402898,175,0.004270207017083546,0.0007569340914174761,0.09299160762766098,0.017729548018200803,0.03848244846474609,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.5056875000000001,0.00234375,2.3035506249999953,0.3623256249999999,0.5991942171874918,0.9332867383544896,200,0.00297855289423402,0.0008640497851686551,0.16231853105408953,0.005852695836508789,0.05408928128821782,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.319546875,0.0033906249999999987,2.6498678124999975,0.5232803125000001,0.2851323964999978,0.9330976369873046,250,0.004263157482283533,0.0013608289638121322,0.132261774807077,0.0327433865239179,0.016626561308853767,6.903245000000001e-22,-4.141947e-22,1.380649e-23
0.22843750000000002,0.0039375,2.1255662499999963,0.5782099999999998,0.14460647499999876,0.9327933206638985,300,0.004627427572366766,0.0012719940054890199,0.10779880352456633,0.026849616514079397,0.003132459235956308,6.903245000000001e-22,-4.141947e-22,1.380649e-23
