order,staggered_order,susceptibility,staggered_susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,staggered_susceptibility_std,specific_heat_std,J,B,k_B
0.0010292968750000003,0.998787109375001,0.0023302734374999997,0.0025485546853779794,0.02992805468345818,0.9634768516414318,50,5.063455373780404e-05,5.141209716933332e-05,0.0001351749360502221,0.0001273742540414512,0.0014894460219379141,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.008582031249999993,0.9830703125,0.023941250000000056,0.045452500000433285,0.19451990555550883,0.966462986497698,75,0.00010662703095589196,0.00016565447850872567,0.00168016724725837,0.0028044895414602146,0.011518436551611616,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.017996093749999997,0.9491601562499999,0.062181171875000066,0.24854132812516133,0.4392285310574695,0.9663492750307564,90,0.0002815644943048123,0.00046569643432743045,0.0027618662325807957,0.011410343664268914,0.017882417787175215,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.025687500000000002,0.8970429687500001,0.10281328124999978,1.1267326562497548,0.805927570312441,0.966288957559941,100,0.00044738757207642447,0.0012497930736929308,0.004358591710403484,0.15358228680743027,0.04980870195090943,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.031421875,0.84463671875,0.12570585937499962,3.2203557031251244,0.9882237138604338,0.9664281044787866,105,0.0004205146615356074,0.004238543338670628,0.0057744668367335555,1.1444216586541267,0.05130022558348906,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.038187500000000006,0.7377421875000001,0.16708406249999994,12.039366874999992,1.451818139204228,0.9666162556231024,110,0.00023581588339078078,0.010727011723568568,0.0052805260086450315,2.9196668848521123,0.09309714531080418,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.042646484374999995,0.5219863281250001,0.19105667968750026,80.77085042968746,1.5494947048881906,0.9665522315841447,113,0.00039704922433856044,0.06544874151490156,0.006806326978617093,37.04074500892202,0.10155009003873158,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.04726171875,0.25077734374999994,0.18652187499999967,128.11604703125005,1.5591991375234429,0.966384068578384,115,0.0006814128156213156,0.07139724121961556,0.01024954416651474,27.472673340461952,0.05636167411529204,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.05268359375,0.14601953124999997,0.21744500000000025,73.84169203124999,1.1132143901909939,0.9665533022142215,120,0.0004923285388200823,0.029580864432744,0.009156817263051654,14.244333926548586,0.056228258226783887,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.056380859374999995,0.034279296875,0.2452279296874999,48.077976054687504,0.7653139237499723,0.9665541700610231,125,0.0005178400722753143,0.007218997544837381,0.011650198293578195,3.861153697647229,0.039934807589047425,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.060216796875,0.020947265624999992,0.2857396484375004,21.4777944921875,0.5624028581532684,0.9666493255799878,135,0.00021669039474063364,0.004759136247563833,0.013812393313807944,1.6067849469170556,0.02483741221128432,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06315625,0.011164062500000002,0.29147593750000056,11.31601796875,0.39638483958331666,0.9664975841843814,150,0.0007094076947311371,0.002664047035329014,0.005528209710544314,0.4459251074458901,0.016409343762133786,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06540234375,0.007980468749999999,0.37547648437500025,5.832758828125,0.22991973750000053,0.9665488247225762,175,0.0006224998823418551,0.0016044590803226135,0.01523110761383689,0.1159574605736906,0.011081578305414598,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06421679687500001,0.005583984375,0.42602777343749965,4.279375742187499,0.1694286522460941,0.9665147374020843,200,0.0006858915065908577,0.0009429628032253454,0.021019188343529324,0.16944362369329868,0.005290016811286031,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.060974609375,0.003970703125,0.5046051171875003,2.7863732421875005,0.0973808136875034,0.96653528364534,250,0.0006039323374257026,0.0010134368329982578,0.016623178271023626,0.12669082201292148,0.0028873705148673872,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.054289062500000006,0.0034765625,0.5475903906249997,2.3333328906250004,0.06524155407986124,0.9663640487077428,300,0.0008252372631718366,0.0008976686588023968,0.024218693364928687,0.11087429010013425,0.0023983835211368086,-6.903245000000001e-22,4.141947e-22,1.380649e-23
