order,staggered_order,susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,specific_heat_std,J,B,k_B
0.9997890625000005,7.03125e-05,0.00040859374986137456,0.008645843752499022,0.9666666656816025,50,2.7175823642082715e-05,1.7293705954045827e-05,5.105491165992282e-05,0.0010803219305975569,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9952421875000003,0.00044531249999999985,0.009579218750219987,0.08161267500085817,0.9666666416239402,75,0.00013641707789212513,8.703139026021014e-05,0.00077225983731933,0.005413730691867198,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.98553125,0.0005781249999999999,0.03743468750034147,0.19542036651279737,0.9666664966363028,90,0.0003517881220457856,0.00014027734804664647,0.00217329567744227,0.007968623681803275,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9725390624999999,0.0009453124999999998,0.07330984375025515,0.2909148234375799,0.966666339908488,100,0.00048124619519598764,0.0001734480571111276,0.0051740011493060295,0.02003715500181912,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9649609374999997,0.0011171874999999997,0.09576484375034386,0.33044361536269234,0.9666662035356398,105,0.0005678188204794256,0.00019888912681598507,0.0038232555461546716,0.011364711426938637,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9540781249999999,0.0013593750000000001,0.14474093750022826,0.4340835201445684,0.9666665263437588,110,0.0003095170128603119,0.00022675099917089677,0.004492662001015492,0.013392154918301438,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9479296875000001,0.0018046874999999997,0.1592776562501288,0.43742221517920105,0.966665444575353,113,0.0009077472814352446,0.0003064751245258333,0.006402681532985077,0.01774922102862283,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9443359374999997,0.0013671875,0.18498140625017379,0.44296695297737576,0.9666656962653344,115,0.0008064869140774183,0.0002720388335387523,0.007391899240881366,0.017277997599674796,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9293281250000002,0.0021093750000000006,0.25160124999995087,0.5349448263887393,0.9666654476520673,120,0.0008887178044450038,0.0005206900844672387,0.01195462632892105,0.02649002199691034,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.9163515625,0.0011640625000000002,0.302067031249944,0.5715515209999473,0.966665845284897,125,0.0007196877374619194,0.0002357899994234807,0.01066180332632105,0.020041250315134238,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.8766484374999999,0.0017734375,0.5322098437499482,0.7253519607338342,0.9666629351657673,135,0.0014679373582992445,0.0002997496514020074,0.017449181727837323,0.024991877970339024,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.8022890624999999,0.0018359375000000001,0.9274517187500161,0.8190538187499985,0.9666584781935879,150,0.0019854220293845804,0.0005193109260266197,0.05364776458113469,0.03807811260499296,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.6536015625000001,0.0018515625000000001,1.619204843750018,0.7408062954081441,0.9666571086678092,175,0.0017521070601965525,0.0004496159928379162,0.07401857636559694,0.028494565368790033,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.5142656250000001,0.002328125,2.3569881249999995,0.5843779593749974,0.9666405767116504,200,0.002264929850251992,0.00043579466746106464,0.07626524281403406,0.021407638070760605,6.903245000000001e-22,4.141947e-22,1.380649e-23
0.22184374999999998,0.003234375,2.1100543750000016,0.14564459583333303,0.9665586155678264,300,0.0019821345620000172,0.0007867152588055604,0.06826809283591474,0.005133021703647944,6.903245000000001e-22,4.141947e-22,1.380649e-23
