order,staggered_order,susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,specific_heat_std,J,B,k_B
0.9990625000000009,0.000375,0.0020549999999629476,0.029469999999323936,0.9666666379695064,50,0.00014657549249448614,7.395099728874519e-05,0.000435826083432364,0.00467335104609228,6.903245000000001e-22,0,1.380649e-23
0.9874687500000002,0.0011562499999999997,0.03546687500002747,0.1778888888886141,0.9666657693119183,75,0.0008106348785057799,0.00019788925248734456,0.0026069717301081784,0.012232164642938649,6.903245000000001e-22,0,1.380649e-23
0.8702187499999999,0.00140625,5.8613606250000485,0.4534027777776692,0.9630433646871015,90,0.08165393641479415,0.00027332587007087336,5.363631964106813,0.030459368572892855,6.903245000000001e-22,0,1.380649e-23
0.6599062500000001,0.0020937499999999997,20.134909375000014,0.679675624999944,0.9525374936034631,100,0.09857419130485548,0.0005267270699802695,6.995862245303205,0.0331606972211901,6.903245000000001e-22,0,1.380649e-23
0.6933125,0.0026875,15.973966249999998,0.8840867346938376,0.9560389573284976,105,0.07638176627147346,0.000498435050934422,5.92507907536956,0.04671754349359845,6.903245000000001e-22,0,1.380649e-23
0.63196875,0.00228125,15.73524312500001,0.9932954545454228,0.9553787753856038,110,0.0889134613727373,0.0004615065343524401,5.209394767817881,0.05525112150405311,6.903245000000001e-22,0,1.380649e-23
0.34099999999999997,0.0034375000000000005,30.011318750000004,1.1901612303234104,0.9302689358048898,113,0.07749316754156457,0.0011541365820387118,3.626199360858502,0.041946644597807586,6.903245000000001e-22,0,1.380649e-23
0.22693750000000007,0.0042499999999999994,33.72562875,1.1332868620037728,0.9011817846324484,115,0.07089225980316893,0.0006346135635172006,2.724036399268271,0.04023240720062303,6.903245000000001e-22,0,1.380649e-23
0.1744375,0.005687500000000002,29.682300000000005,1.1496310763888868,0.8871561830921024,120,0.051995789342743896,0.0010604760134015295,1.9853409946865084,0.05218750418000877,6.903245000000001e-22,0,1.380649e-23
0.16878124999999997,0.0043437499999999995,25.578955625000003,1.1483887999999967,0.925999081779973,125,0.027766656389116243,0.0011637845725262041,1.1448828700773044,0.0214868958376035,6.903245000000001e-22,0,1.380649e-23
0.0718125,0.003750000000000002,18.700539999999997,0.7735048010973917,0.9366890134565817,135,0.011130248059904145,0.0008076779989575056,0.4298219294054367,0.02727113284369745,6.903245000000001e-22,0,1.380649e-23
0.0359375,0.0030624999999999993,10.62576625,0.4717113888888906,0.9319336318297362,150,0.007726021372608284,0.0008134609701761967,0.37037024175267813,0.017438229313258526,6.903245000000001e-22,0,1.380649e-23
0.0158125,0.0075000000000000015,5.906125,0.25651530612245044,0.8699015362422993,175,0.004940703074968178,0.0017544586059522749,0.2315981915037604,0.007031197643055519,6.903245000000001e-22,0,1.380649e-23
0.021937500000000002,0.0078125,4.722861249999999,0.179992031250001,0.9384370631363746,200,0.0037683923959694002,0.0019833289565778034,0.20665347189422587,0.007227324930895171,6.903245000000001e-22,0,1.380649e-23
0.018250000000000006,0.0052499999999999995,2.774738749999999,0.10187830000000046,0.9420834721476196,250,0.0030478604175716456,0.0013548235586230404,0.05977275557005451,0.004954242384159256,6.903245000000001e-22,0,1.380649e-23
0.012281249999999999,0.00571875,2.2492543749999996,0.07257576388888916,0.891495048697068,300,0.0034301199186398705,0.0012915364517697508,0.08231735553280402,0.0035423316429784766,6.903245000000001e-22,0,1.380649e-23
