order,staggered_order,susceptibility,specific_heat,cumulant_list,T,order_std,staggered_order_std,susceptibility_std,specific_heat_std,J,B,k_B
0.00121875,0.9985312500000006,0.0026918750000000003,0.03981407499935403,0.9313717594208346,50,0.00019985346194149352,0.00020752447144854757,0.0004574231919814516,0.007738005580091708,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.009437500000000001,0.981625,0.0274625,0.24327244444425986,0.961062163003753,75,0.0005758824749894726,0.0008578679968386841,0.001854836161902177,0.014703097071533262,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.019437500000000014,0.85975,0.0603675,0.44127416666662134,0.964917136312619,90,0.0007150721117481793,0.08585510595619807,0.002684944540861132,0.017300785259533973,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.026000000000000013,0.7771250000000001,0.101885,0.7418047749999831,0.9653496285792883,100,0.0008624094155330177,0.06924349585881694,0.0037010561414952893,0.04742399013022354,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.03268750000000002,0.3979375,0.11925749999999997,0.9194665986394606,0.9650031336245048,105,0.0012407470028172553,0.1001362372751493,0.00392611238217909,0.04616153535701653,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.03531250000000002,0.3446875,0.15171374999999993,1.0827634194214835,0.9631327633229003,110,0.0017589059099337872,0.06803374048036755,0.005857016812123715,0.06214824659738797,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.039375000000000014,0.3711875,0.17212749999999988,1.1834663834286212,0.9650475300362,113,0.0014100642715848114,0.07577160118985872,0.008513332613465764,0.037644731217252654,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.038281250000000024,0.24703124999999998,0.17341437499999984,1.0742706379962188,0.9649337259058427,115,0.0013164004543640975,0.07061923718191987,0.009299952454935567,0.0407360663832213,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.04493750000000003,0.1540625,0.20425749999999976,1.2277840625000018,0.9642734920818236,120,0.0018759372657421163,0.03043303997097562,0.007341810211895961,0.04517687476001866,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.050781250000000035,0.14715625,0.2102956249999997,1.024566148,0.9656216175042972,125,0.0014538808518066407,0.02244121879001338,0.011626536358490966,0.04447932480423944,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06121875000000003,0.05815625,0.2630406249999996,0.737618741426611,0.9653176938796418,135,0.0019928828443363127,0.016332450085068378,0.012049950085801694,0.038702908224247386,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06106250000000003,0.045312500000000006,0.3014912499999996,0.4358545388888874,0.9656074835034409,150,0.0017123175085246283,0.010854686487872418,0.013972962932928712,0.01809380206598506,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.06484375000000002,0.034406250000000006,0.4117606249999996,0.23295402653061242,0.9636011317309942,175,0.0030169605203333345,0.009227321227271218,0.01378288615712663,0.008369117193873647,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.065375,0.023875000000000004,0.4701462499999997,0.16256644687500005,0.9654261811371967,200,0.002146854530470099,0.004995740373057832,0.016834687014465118,0.010824654756299613,-6.903245000000001e-22,4.141947e-22,1.380649e-23
0.05662500000000002,0.014499999999999999,0.5580137499999995,0.06972222083333332,0.9629410761903325,300,0.003004488829235349,0.003063201450280408,0.03405713080160304,0.004297724118026101,-6.903245000000001e-22,4.141947e-22,1.380649e-23
