a,total_energy,error
2.643200000000000216e+00,2.492654714966979373e+04,2.210668371349767611e-02
2.808399999999999785e+00,9.686065035300416639e+03,1.395533455140122656e-02
2.973599999999999799e+00,3.294799555838525521e+03,1.343427575433254681e-02
3.138799999999999812e+00,6.316988437765578510e+02,2.169451339738626486e-02
3.303999999999999826e+00,-4.192889292950529807e+02,1.645901216879792558e-02
3.469199999999999839e+00,-7.744729494728777581e+02,1.854016038566615870e-02
3.634400000000000297e+00,-8.387942471097419457e+02,1.941694574916564761e-02
3.799599999999999422e+00,-7.757537144963557694e+02,1.999189118261415765e-02
3.964799999999999436e+00,-6.786933131328698892e+02,1.579007507797820786e-02
