a,total_energy,error
2.973599999999999799e+00,3.294869988531527724e+03,9.160314490986302960e-03
3.138799999999999812e+00,6.318425573055012592e+02,7.557255010474092649e-03
3.303999999999999826e+00,-4.183233509491896029e+02,1.743674156576012838e-02
3.469199999999999839e+00,-7.733070442163325424e+02,7.533955861951334258e-03
3.634400000000000297e+00,-8.371414451903573308e+02,8.195725163966424698e-03
3.799599999999999422e+00,-7.727967734716066843e+02,2.032136917875663334e-02
3.964799999999999436e+00,-6.752337109418451746e+02,1.267636156157539960e-02
4.129999999999999893e+00,-5.735343629053681980e+02,2.463629273167267097e-02
4.295200000000000351e+00,-4.803734120590568750e+02,1.216724817624330150e-02
