x,y,z,vx,vy,vz
1.234657313354666108e+00,5.883140485742618608e+00,1.787040926038897082e+00,2.514618393402022201e-01,-5.942622404895985255e-01,7.586374147307172189e-01
1.266683207570788561e+00,1.208505461934285652e+00,4.882021218420872444e+00,-1.937793571332687481e+00,1.327131836619648730e+00,-2.143942827890900071e-01
3.406180456813545199e+00,2.069114392003525094e+00,1.525719390216486504e+00,9.134866237129327660e-01,-1.181958800481682115e+00,-1.185945024669757597e+00
2.778413891495426835e+00,4.512776050515090454e+00,4.837031788240442332e+00,1.815011938381953849e+00,-2.290442786817463272e+00,7.508627912291779838e-01
1.208050231142111519e+00,5.603701889605413378e+00,8.035226755342662841e+00,9.781624931745583895e-01,5.321744315123879687e-01,-1.860151550349477434e+00
8.278925977256453850e-01,1.384841018899401144e+00,1.132897134932668415e+01,8.394391651412685951e-01,1.600497527361321559e+00,-7.116547286999848065e-01
3.189132485117646798e+00,2.436543343429478536e+00,8.021701743431826515e+00,1.837567984324878001e+00,2.029635114733827184e+00,4.836955040831604213e-01
2.714518705689012990e+00,4.582719850875895062e+00,1.157599022303545411e+01,-1.090589349987804990e+00,-9.111325718733634949e-01,9.195003588571888375e-01
9.306831838963121051e-01,5.853410973564894704e+00,1.463646965052540239e+01,-2.570940393966802517e+00,-1.133196297168873823e+00,4.691905657012633846e+00
7.444945104024958127e-01,1.123978399913757587e+00,1.819175568823170863e+01,-3.650008706493375610e-01,3.067079643377235154e+00,4.560050763822561803e-01
3.019453613136986014e+00,2.175687125346028594e+00,1.455320652109230117e+01,9.872985325436504089e-01,1.651750803800825063e+00,2.743879533453777997e-01
2.840399930149259067e+00,4.479224727852209931e+00,1.783697054340734667e+01,3.515532789272840519e-01,-2.024576845025676697e+00,2.081831831250598785e+00
4.779090691132064084e-01,5.748813416282677835e+00,2.153458690846236578e+01,-2.271190373693128262e-01,1.927733536371455614e+00,1.157364283489936696e-01
1.420318057067258666e+00,1.412422052100247960e+00,2.404435584818221727e+01,2.850401279003800248e-01,1.211169299645445063e+00,-6.014437285470674438e-02
2.866845010015965478e+00,3.055524931795638999e+00,2.126740310844889237e+01,-9.185016723642560610e-01,1.970748584479643073e+00,-1.627969753044250234e-01
3.322847173337104998e+00,4.812949572780141239e+00,2.428269981464148941e+01,5.566663821402927370e-01,1.183932633179192173e+00,1.100890015326972948e+00
7.583877534899580164e-01,5.729074552533974796e+00,2.745990058458700034e+01,-3.354980897476842472e-01,2.143259956783742648e-01,-4.099706038849619816e-01
1.190796951534870862e+00,1.022055685708794792e+00,3.091493494390995878e+01,1.131994018578315497e+00,-2.973112918833930030e-01,1.673584757660700362e+00
3.461133255043113532e+00,2.279938809268597488e+00,2.763305222554563656e+01,6.139347007945161749e-01,6.257006314866464525e-01,-4.425740953995663252e-01
3.031860937773354969e+00,4.378254006180480218e+00,3.071876536889384468e+01,1.205770519071560409e+00,3.155201366339432045e+00,6.161699744918573973e-01
9.443019152382057246e-01,1.265208181727541259e+01,1.775748378761205837e+00,1.563120015430804033e+00,-3.531438971807230320e-01,7.690872694165220569e-01
8.855768461303947792e-01,7.965737559233374121e+00,4.917623323041245165e+00,-1.615359601314840521e-02,-1.662859864302412172e+00,1.509759887490574659e+00
