x,y,z,vx,vy,vz
8.675479874734370878e-01,5.147457493278758456e+00,1.399768980652345229e+00,3.677321898985759785e-01,8.430151210573191833e-02,3.735325833561651265e-01
8.740585785498147242e-01,1.026004525964659742e+00,4.413302837243309185e+00,9.284049678743618861e-01,-7.251780686736586379e-01,-1.060453308495001412e+00
2.594364195340779222e+00,1.931181459728704697e+00,1.336439789922558408e+00,-1.627464718041634395e+00,1.093437614433349747e+00,5.949574253550216074e-01
2.690440024823010035e+00,4.220550973917433168e+00,4.377521845239216169e+00,-1.040275248258395902e+00,-5.079512473028798825e-01,5.997853288460384125e-01
1.048976381137141756e+00,5.051514386724816674e+00,7.522405499421175534e+00,1.666348975662929055e+00,1.119585684500191247e+00,-3.542040358695772717e-01
9.329886264627715864e-01,1.174070378077094023e+00,1.035987874526884767e+01,5.254466602546592480e-01,1.848237154115577985e+00,4.966234494170381208e-01
2.830779612673580470e+00,2.082022180232891984e+00,7.292545379351177637e+00,1.996303073631309211e+00,-2.348163301616120080e+00,-2.133605988097388995e+00
2.821326062777829158e+00,4.273723792763091112e+00,1.037475837284924118e+01,6.661184910963645622e-01,-1.081351553196735482e+00,-3.597659675171708038e+00
1.051047362643140248e+00,5.143815075004181558e+00,1.340587413488216306e+01,1.307853797191914413e+00,-1.144244484765509773e+00,1.106190157394439932e+00
9.297305846763772585e-01,9.865771254535247170e-01,1.637975389394987857e+01,-1.649058390763856075e+00,7.715581492621897963e-02,-2.617995816085631589e+00
2.676096505740973353e+00,2.168832169614143712e+00,1.329304050786884694e+01,3.024605326289604434e-01,-1.021609110596650938e+00,2.009074510968331673e+00
2.881685288321728766e+00,3.993832400965746654e+00,1.619612175169310575e+01,-1.099275825129122586e+00,1.721119751986620150e+00,1.572211481132647748e+00
1.040805280189222026e+00,5.170284647428150748e+00,1.927770415623688294e+01,1.573346604926364911e+00,-1.353785896863108906e+00,-2.055440752654380532e-02
8.905743693685759244e-01,1.059607182536015157e+00,2.219884060062750564e+01,2.462129806211017069e+00,-1.116961982099751172e+00,1.133056920699087033e+00
2.831586660204666206e+00,2.112842542218614117e+00,1.927822075922653156e+01,2.246344051122800556e-01,2.049664680195334210e+00,1.263127641762548325e+00
2.656694253735939704e+00,4.238709806319010731e+00,2.226845687295599774e+01,-4.248798381175482586e-01,1.136923797618630383e+00,-2.932620969110194764e+00
9.493920405251252692e-01,5.194067748393075945e+00,2.509752661325558876e+01,-3.774461956705114085e-01,2.375323156723125606e-01,-6.566887432890425313e-02
8.209950268936182516e-01,1.080660941716377499e+00,2.802973257845384225e+01,-3.954218678632123174e-01,1.182305764695316785e+00,-1.887609261255527748e+00
2.786452299825494805e+00,2.063255771339685296e+00,2.508546300120007544e+01,-4.344849769027722686e-01,-7.815856632410187466e-01,-4.504233633026314965e-01
2.816964215791930126e+00,4.079782188265851595e+00,2.805689832746609369e+01,4.219104049966621028e-01,-1.120395714674254251e+00,-1.107370407371334631e+00
8.165317507772967831e-01,1.134982886658497492e+01,1.434689588467523702e+00,-1.429009742938010530e-01,-8.862966343895866128e-01,-1.431587716027925339e+00
1.071544627993119114e+00,7.198921967188352866e+00,4.393814965015260476e+00,-1.489569343538433621e+00,-2.188926924141779029e+00,-2.999792502092019086e-01
2.780487808280378115e+00,8.110815675130419677e+00,1.481179854649746774e+00,8.055729743911315133e-01,6.870650230417157944e-01,5.422541775562709360e-02
2.719310508296084006e+00,1.028307496307197155e+01,4.400349823395838023e+00,5.059665377054044511e-01,2.317473638585346440e-01,-1.264497528729695563e+00
8.213916840873088931e-01,1.182443480911058309e+01,7.316806380724273140e+00,-5.288599502070157055e-01,1.514591617335718565e+00,-1.299881726330618659e-01
9.563736699533941232e-01,7.223468335443901545e+00,1.046767007134237382e+01,-7.879927689746804020e-01,-1.221434488473058522e-01,-3.269829900141981160e-01
