x,y,z,vx,vy,vz
6.739825818864564333e-01,5.792046613241253361e+00,1.560744210886317207e+00,-2.112797914065459359e+00,3.143909797274251072e-02,-1.039588048768211870e-01
1.044186787783326853e+00,1.163484441395271185e+00,5.023273730487765931e+00,-2.229501942731574982e+00,7.638660163885845344e-01,1.685273420443406778e+00
2.580456393011817173e+00,2.233564603312189867e+00,1.411284146566115894e+00,-3.259494445412308483e+00,1.851675597055779110e-01,-3.013193654567122515e+00
3.006010414646549389e+00,4.357800183223284662e+00,4.472418806223527277e+00,-1.950070266855322698e+00,-1.566018131356957888e+00,-1.964776757671692353e+00
1.334510745332290194e+00,5.834968378039679493e+00,8.502352983087881455e+00,5.706187670465525663e-01,1.208806118031827415e-01,-1.628082687388798355e+00
8.373647445852930860e-01,8.019978601940056517e-01,1.124380552154039492e+01,1.559430408338613017e+00,-4.131549498420807431e+00,1.986353942148278318e+00
3.136382364834093384e+00,2.140939971999483493e+00,8.558682964134934679e+00,7.632447086305869099e-01,-1.351712479051663918e+00,4.870145004487571594e-01
3.120596742809748303e+00,4.762592890343386287e+00,1.146374975314383526e+01,5.396094988313449026e-01,-3.260150916303358404e+00,3.252317623450503570e-01
1.754387440184730140e+00,5.368385768258367108e+00,1.513637046034592437e+01,2.159440309228870980e+00,-1.073680072804403363e+00,3.309766961813961572e+00
6.252986986388988644e-01,1.975163822878783559e+00,1.682824055809757624e+01,-1.170370323012429742e-01,-3.637786961168044453e+00,2.290586425822504602e+00
3.083774285367097079e+00,1.792822245560754091e+00,1.409953045304519392e+01,9.465714597765351179e-01,2.312839018197809238e-01,-2.038318441984278806e+00
3.248066216378684867e+00,4.527638660648078961e+00,1.798290205904925543e+01,-9.340343641821753362e-01,-2.559507286104992119e+00,-1.024439432071422296e+00
9.739164411058605086e-01,5.721237510916445501e+00,2.063174248030807689e+01,-1.035830375283365745e+00,-2.907938936572506128e-01,-8.446983486904604543e-01
1.425551763771477853e+00,1.228572340864468426e+00,2.402645096666045887e+01,-1.773179222508556974e+00,1.281149633846627278e+00,-2.243020233828001420e+00
2.925669225591174705e+00,2.699669316721775125e+00,2.082033460155610172e+01,-2.216395397575075421e+00,7.251392548113934078e-01,1.733797673854138521e+00
2.302278621520741364e+00,4.733819939950198119e+00,2.396221119128665222e+01,4.852408952755815186e+00,7.169744083509126398e-01,6.095126499888239291e-01
6.561180994734231442e-01,6.020413097512537171e+00,2.707573526052132706e+01,-2.967453750979147653e+00,-2.724922006959255238e+00,-2.969618682432758838e+00
6.994716000118231802e-01,6.944603723731912481e-01,3.049562462585733513e+01,3.053582677590114702e+00,-2.967588569371814700e+00,1.657125193933145502e+00
3.293599247927389229e+00,3.054711778495336816e+00,2.729113010970127817e+01,-1.393153851513115660e+00,2.081228902527615610e+00,-1.751501492425866946e+00
3.015085015772217769e+00,4.363236857836342963e+00,3.126124863810966303e+01,6.500703386789310478e-01,-4.638315489469084341e+00,2.291869978311098510e+00
9.810199693152668043e-01,1.276570837964663241e+01,1.447274532952354642e+00,-8.258369335445872039e-01,-1.583680686484974842e+00,-7.005884933672618331e+00
1.222058993819322037e+00,7.951609633833676583e+00,5.500452752913563614e+00,2.304139636798369750e+00,1.088208896532633085e+00,1.129313381691532170e+00
2.707900898384368649e+00,9.321631048449589230e+00,1.868075673762428890e+00,3.091222530773935162e+00,3.059964057420875960e+00,3.938135540529588585e+00
3.109304551638891745e+00,1.158475664626754309e+01,5.227602703363605663e+00,1.286491207867650921e+00,-7.867933292591604566e-01,1.860252253697278757e+00
9.337594732438554423e-01,1.185401856494597084e+01,8.442597828400304039e+00,2.536453745661684245e-01,-2.653645668115963696e-01,-3.860822442675811983e-01
1.228090261626265445e+00,8.059877612652092793e+00,1.158428912751906381e+01,9.711513445577759640e-01,-3.465845591779881829e+00,3.212077293933859878e-02
3.339482909727996773e+00,9.377735361994325558e+00,8.233949354571029389e+00,7.648460423246296047e-01,-6.522961402758921778e+00,5.783861561818536501e+00
2.936336465694235454e+00,1.118443682706252318e+01,1.152793140750863543e+01,3.073928029176339560e+00,-1.215087526898776416e+00,5.917795753040132611e-01
9.029747933217693312e-01,1.250281336721064740e+01,1.394031632546669108e+01,3.370482579608159446e-01,-1.472036459106923045e+00,-4.822518542885372850e-01
9.256955000030167025e-01,8.339705269834029266e+00,1.768806624206587230e+01,2.910685994067035987e-02,9.603253333242406375e-01,3.928832811383956569e-01
2.920539875577055078e+00,9.248842473150352461e+00,1.490834787698256036e+01,1.050910989697876108e+00,-2.589200980377011629e-01,-5.599725285778558437e+00
2.451350207627297273e+00,1.183290908968434962e+01,1.786886911297455782e+01,-8.507444918634832209e-01,-4.992787954045596055e-01,-3.729983502740787937e+00
5.749029859007198651e-01,1.291055586533520660e+01,2.121608966095779181e+01,1.360696390213977480e+00,-9.105244869339441938e-02,6.043324805507404029e-01
6.142977520770118716e-01,7.829099092995434717e+00,2.342686175752948685e+01,6.789213523643591319e-01,1.544614549704120376e+00,1.037574653015458148e+00
2.938809261701588404e+00,9.173576917362435523e+00,2.105413158658767969e+01,1.095900690499391983e+00,-1.012145474303818515e+00,2.588376545519806893e+00
2.023476606743314754e+00,1.098722797958130037e+01,2.438341750146211240e+01,-3.298798962545080649e+00,2.017412369558226448e+00,3.435435702374104672e+00
7.305558171733983475e-01,1.292376737909888362e+01,2.720450131180624709e+01,-3.914765725976290689e+00,-1.439693148375115861e+00,1.474955434812889044e+00
1.823234915468193051e+00,8.015856045811165842e+00,3.096130387571971099e+01,7.970219306634693801e-01,5.069778687006237794e-01,7.939330329208910131e-01
3.038287344194524398e+00,9.484665226663340221e+00,2.732354247617933041e+01,-4.816842027855586572e+00,2.426943834210843587e+00,-1.136085609671553476e+00
3.224104478798814011e+00,1.171416990035455719e+01,3.038270626836202837e+01,6.490422678849564475e-01,-6.276159228157131009e-01,-1.842258749971849463e+00
5.129780617468489012e-01,1.915979314665187871e+01,1.503079476754925814e+00,-3.122126937677193736e-01,-2.405538323950937141e+00,-1.986328330822145993e+00
1.236570139729617601e+00,1.481019182300098436e+01,4.523258643623393915e+00,-4.013887548545429951e+00,1.521562035992419792e-01,7.757941475067484660e-01
2.972755373146316327e+00,1.648887292569949992e+01,1.758574424377901568e+00,-2.181929201686774178e+00,1.592304637382146115e+00,2.256650001575526865e+00
2.682832297903892993e+00,1.838272090412623427e+01,4.562515378527844057e+00,-3.025394518750055273e-01,-3.514725869565961336e+00,-1.561415286933156565e+00
1.086033001539866039e+00,2.027963650055007250e+01,8.017927361012118226e+00,1.594456269341320898e+00,-9.040247626180086815e-01,-7.297135489205870407e-01
1.342058469062677339e+00,1.486161165366444337e+01,1.137050464587903598e+01,6.755066765399985185e-01,-2.004258128710081355e-01,-1.190624888374208767e+00
2.800671276696343970e+00,1.613559568297256419e+01,7.460651736496711983e+00,1.260967164408716368e+00,3.184740872583234239e+00,-1.551026824753200195e+00
