x,y,z,vx,vy,vz
8.413081631705737751e-01,5.791394935256725773e+00,1.439387591239332798e+00,-2.410202817396778663e+00,4.311499319686401321e+00,3.001736740529113767e+00
6.609194116711413214e-01,1.017596055132744537e+00,4.665760060508072016e+00,8.229284330001629399e-02,2.297926711903038210e+00,1.931688675754247297e+00
3.777632498595997035e+00,2.229685687589804566e+00,1.899655593607969761e+00,2.340141698432632200e+00,2.123845912784316781e+00,-9.719250886202414064e-01
3.027781444150223766e+00,4.006311594618696681e+00,5.387488610159167912e+00,4.945829253116264645e+00,-2.765780601513845305e+00,8.896255361251832472e-01
1.562347593601816298e+00,6.027816875554015574e+00,8.782091599937794868e+00,-3.112575129878251357e+00,-1.861404972524390855e+00,-2.146474028784639998e+00
1.279206169017217176e+00,1.267390814820154699e+00,1.186910040829727819e+01,5.577404712430922729e+00,3.585471670624968965e+00,5.235964613785049071e-01
3.135036598825775123e+00,2.602762589281699235e+00,8.482035628710887565e+00,-3.984245901754991159e+00,-3.410670109518808002e-01,2.014044886034302539e+00
2.999499135504033465e+00,4.359945630135596772e+00,1.210679384246128265e+01,2.005136988206618121e+00,-2.482291658595658479e+00,1.286592335845508250e+00
1.234311669438122427e+00,5.789080862442589570e+00,1.588427866916332931e+01,-1.252803208113309585e+00,3.946963798727963491e-02,-1.807995378824668320e-01
1.007571743834755340e+00,1.683269306208494243e+00,1.914803862791228539e+01,-8.779918406460454627e-02,1.584509807212370669e+00,-4.409442933872695924e-01
2.518207033058140087e+00,2.571345481371856145e+00,1.581494590356403940e+01,-1.657304555260256773e+00,-1.047355245841862681e+00,2.222510156671356096e+00
3.018465208816714540e+00,5.302517742671322587e+00,1.893747743621668178e+01,-8.512653678002406465e-01,3.866223421284509243e-01,5.024643205230049148e+00
6.202020853670926759e-02,5.411915537728291703e+00,2.155692453488223848e+01,-1.393660226587029705e+00,1.762768894213649018e+00,-4.294965465517993630e-01
9.762475474507473772e-01,4.024892848802875678e-01,2.496527278770703262e+01,1.913400820583109618e-01,1.926256590132148006e+00,-1.617968087997679438e+00
4.022046805691587679e+00,2.585818722817005533e+00,2.221411213348314106e+01,-1.633665569528331085e+00,-2.311292273574864442e+00,-2.392472548568154611e+00
3.115055811556933563e+00,4.955635806049865089e+00,2.473619317707521859e+01,-6.878033646248575828e-01,-3.545935442773398560e-01,-2.534642589661190826e+00
6.575179544656097885e-01,6.338559191865114961e+00,2.886558056627338686e+01,1.510796317432150593e+00,-1.895830322746536178e-01,-2.652791375440739507e+00
9.489422920506015435e-01,2.135028544769323577e+00,3.227641695743498929e+01,-1.087632511914709665e+00,6.243122638061315843e-01,2.779016188176077318e+00
