x,y,z,vx,vy,vz
6.468280394655496757e-01,4.536517558881199896e+00,1.277514346052703642e+00,-3.438345043767508713e+00,-3.912334177488634435e-01,-5.038291169723888574e-01
8.277834487436208644e-01,9.098397505522496376e-01,3.862033272440283049e+00,3.538847984227869059e+00,-1.262894376917454542e+00,3.457752420657719483e+00
2.402306050726568110e+00,1.765747519233151097e+00,1.171263179392256326e+00,4.010829565264337204e-01,-4.926753037074460551e+00,2.961469165702265371e+00
2.262241707328883855e+00,3.692214253711486371e+00,3.752608216762317817e+00,2.322163641157264369e+00,2.666518232040479219e+00,7.763595056737602196e-01
6.598620374648489495e-01,4.496483045173062187e+00,6.342837829214865941e+00,-1.240077643201473956e+00,6.262864190462815728e-01,-1.717860178487532918e+00
7.973442001457118344e-01,8.759932198217460497e-01,8.930881169316648993e+00,-2.637962981789367944e-01,1.004313374706063744e+00,-4.947989439005879286e-01
2.353198654532467238e+00,1.854376008331801273e+00,6.293541163388625570e+00,-1.958491979255356785e-01,3.776589401322852702e+00,-2.856612558418275771e+00
2.389859930643294827e+00,3.587648685051826547e+00,9.002974922219564746e+00,1.478263875787272141e+00,-2.276258779459607418e+00,2.989427869382013991e+00
7.841885341382780483e-01,4.563091475663984653e+00,1.161938476883353744e+01,-2.576982875723944133e+00,4.546667750563644916e-01,-4.233666019060054353e+00
7.914131056779837303e-01,1.019688415032504958e+00,1.411020734133616017e+01,2.572490962914239621e+00,1.935813194134731408e+00,-2.836242648250439036e+00
2.444072715150830799e+00,1.793872862866750628e+00,1.155484551930595316e+01,-1.834854964314102332e+00,-1.415896293614566481e+00,1.054286962937835970e+00
2.392985918334003426e+00,3.636388675666668124e+00,1.406445480464579312e+01,2.999577987413868385e-01,-1.972562400817021278e+00,-4.725398039535087413e+00
8.237413673838441808e-01,4.598130230855369760e+00,1.678065729091623481e+01,-4.456208565423092627e-01,3.203115164087898759e+00,-2.795514086984835611e+00
7.937412652395802182e-01,8.399973668252765924e-01,1.918325594658315580e+01,-2.472226996588042347e+00,-3.318659797717316007e-01,-6.602758333806408864e-01
2.450372956062789598e+00,1.700119057159257041e+00,1.657981790145568368e+01,1.093592497954135156e+00,-1.552392050196091389e-02,-4.200412317945786178e+00
2.320059592919523350e+00,3.539816206609832872e+00,1.917814891363503449e+01,2.062873642535460572e+00,-3.351784621838853617e+00,-1.821063305139588584e+00
7.134821476136432583e-01,4.545926029507014299e+00,2.167792089322346527e+01,6.917663077936369032e-01,-1.315788927587052681e+00,-4.377317796925955795e-01
7.024986711103586856e-01,8.754071610787215185e-01,2.434081234877368516e+01,-3.171916218564473089e-02,8.219286679568795773e-01,1.985994282640229924e+00
2.285682363057722544e+00,1.810186490836678930e+00,2.174158287128855704e+01,-1.386953379990686352e+00,-2.587765689556913884e+00,-9.557830176038680792e-01
2.240399289799322791e+00,3.535030350731671600e+00,2.429912507601429539e+01,5.060809292687452832e+00,-2.946032544261047992e+00,5.009508737847516713e-01
7.054023846238856033e-01,9.926705279306002438e+00,1.293308121660787791e+00,1.238113637491088381e-01,1.066988204877465929e+00,-7.224953005596348454e-01
7.317123879450979640e-01,6.304970376475511173e+00,3.769161046985514574e+00,2.357980982763437261e+00,2.777440532444743204e-01,-2.319164257447630551e+00
2.269935074837345024e+00,7.237839114727068868e+00,1.298129778273012791e+00,-3.984399415343937156e-01,1.120517963311618015e+00,-1.862549831165775549e+00
2.324300529456006181e+00,8.999032721324560669e+00,3.773589578796125554e+00,-1.002368315970540991e+00,3.175885751053100226e+00,1.581015514811065392e+00
6.781143146512399467e-01,9.962447915311273050e+00,6.445934898435164762e+00,5.200096909168023807e-01,-2.806377292009465840e+00,2.400816754241668960e+00
8.610511938919500619e-01,6.282774859289031788e+00,8.930543758611188210e+00,-1.892930015125245502e+00,2.991997705611459391e-01,-4.777268942273352081e+00
2.313593194181534418e+00,7.209233987350294193e+00,6.350757642581678297e+00,6.547903987696366279e-01,2.701648001092162299e-01,1.145276084007231354e+00
2.281231634709136813e+00,9.023266788143624595e+00,8.926778655391395034e+00,5.833024095945330001e-02,6.477319685441127461e-01,2.504918558517061467e+00
8.136726717351814298e-01,9.996194412198436297e+00,1.155645834511343750e+01,-2.585279749667370286e+00,2.590109546377123984e+00,2.966740538396198446e+00
7.867545735134215956e-01,6.370068827683723178e+00,1.407972775518339503e+01,-9.642496937410306723e-02,-1.688979054723328321e+00,8.721087291026642374e-01
2.346092482745608443e+00,7.206515659030527488e+00,1.160164760615872837e+01,-2.649237187995387099e+00,2.707181642112126863e+00,-4.136299684565932111e+00
2.349449006454054079e+00,9.029143239739775950e+00,1.413588194191916081e+01,4.892049136311240609e+00,1.216108354572086991e+00,5.461894648177302303e-01
8.420232711765842648e-01,1.013253865110809038e+01,1.670492296469409510e+01,1.890535643320034431e+00,8.340748110619788935e-01,8.836486194474126865e-01
7.105392836300657988e-01,6.344270879560020227e+00,1.930487971670455849e+01,-4.721972109039396237e+00,1.654942566374844048e-01,-5.103984327563061418e-01
2.273911121614927033e+00,7.303366924825445139e+00,1.663309927099270880e+01,-4.180000577895050640e+00,-6.094325977213240764e-01,-1.109456335016058559e-01
2.406239988142567565e+00,9.025914255733981761e+00,1.920143868871118897e+01,-2.168825016151322504e+00,-4.626151783060526768e+00,7.002051236294138947e-01
6.582082979867951433e-01,9.888644455418372559e+00,2.189254649871994829e+01,-2.121406870395595501e+00,-8.790899872424949857e-01,2.305614406056102350e+00
6.627972929778291888e-01,6.313988849042821982e+00,2.437780180172704547e+01,4.339728999768716733e+00,1.094600507968813474e+00,-2.435726848428694247e+00
2.315801493436402847e+00,7.289345109817728208e+00,2.177571639823309013e+01,3.556347790560188571e+00,2.560217692057831673e+00,-3.883991008881047868e+00
2.300636133131308991e+00,8.931183914002639668e+00,2.431247043663525531e+01,-1.604378114402132072e+00,3.383085050694532470e+00,-5.740346430286680679e+00
7.228445742203630786e-01,1.534711306195448266e+01,1.229393272137712545e+00,5.286721763221047254e-01,-3.075869470099882541e+00,1.783399676614514928e-01
8.034231099657106467e-01,1.170445411558064563e+01,3.762259556539873540e+00,-8.952754756452480089e-01,-1.314997702923384582e+00,-1.151242843342558553e+00
2.328519545994299111e+00,1.271210859276838256e+01,1.254709674248279727e+00,-3.537650839975366168e-02,4.347248776037678786e-01,-4.583186852969538094e+00
2.456382242160313645e+00,1.444702047902064734e+01,3.814561018628101596e+00,-8.521664402369903968e-01,-3.250258245693294690e+00,2.080733150270672738e+00
8.096763900719867735e-01,1.534841358780913190e+01,6.298601603022555118e+00,8.691869214095708784e+00,2.916415530241784460e+00,3.379959998222319406e-01
7.361695478655091440e-01,1.176492003100158534e+01,9.007407662727738185e+00,-1.758536396373679755e+00,1.014905300154501866e+00,-1.632703382463340569e+00
2.336985304640000649e+00,1.270279965070573169e+01,6.375571112376823280e+00,-2.233594835763287101e+00,1.168023566995186169e+00,-1.003696763032512207e+00
2.437712297637236514e+00,1.446085150712823619e+01,9.012296782462925648e+00,-6.034716715996174763e+00,3.782898813072161914e+00,3.031437247102832799e-01
7.760932872757557721e-01,1.534083360970453747e+01,1.154677861293411034e+01,-1.875292149587876711e+00,-1.723338095456143471e+00,1.448167952820319515e+00
7.289219071035318853e-01,1.175804278574460859e+01,1.402729431705849805e+01,-3.356593508112358570e+00,1.005045782188682457e+00,-6.421911847127346196e-01
2.328130539604546634e+00,1.273292608350501354e+01,1.153380239343775138e+01,2.008931199728749561e+00,2.290082794036441438e+00,-5.647438604441404886e-01
2.336039296030341994e+00,1.439756586183962206e+01,1.411075953872197175e+01,-2.876652009890280359e-01,2.091013132681167619e+00,1.385559766984981067e+00
8.130003469546793760e-01,1.530951116892373776e+01,1.665072794251316424e+01,1.642420081682249844e+00,1.404585992635565717e+00,-7.327722633866335933e-01
7.491235248665487623e-01,1.168268065715983717e+01,1.926109905483049189e+01,-1.228972719226895327e+00,9.858345217210163769e-01,1.086668347753925623e+00
2.402155692829516020e+00,1.260572880296264131e+01,1.671360384442386859e+01,-5.137109678244908828e-01,3.459452098607428638e+00,1.965377234898387782e+00
2.313186034358468035e+00,1.438202726337076065e+01,1.923189888792768443e+01,2.432082848815130538e-01,3.492203808824267952e+00,-7.184271017062332509e-01
7.717395863656781874e-01,1.534854180496762766e+01,2.169369481705456337e+01,-2.293557583410072986e+00,2.299952452527282976e+00,-4.938314445667510100e+00
7.733742969891403973e-01,1.176066849231293610e+01,2.425958500487682201e+01,5.299901070048640417e-01,-1.869332034670607712e+00,1.584584972447008688e+00
2.377756432628528316e+00,1.266062420833675084e+01,2.178807815887002519e+01,3.523102217320848717e-01,1.819200920480438466e+00,2.006749938443720183e+00
2.254210866407022174e+00,1.446855377284784439e+01,2.431540447103759206e+01,-1.529539422832241424e+00,-4.588418716608507530e+00,1.216218720644494766e+00
8.051183300985422786e-01,2.086221621771585433e+01,1.237017934536769337e+00,-2.406882298645999008e+00,-2.243596708448150512e+00,2.249853657469928159e+00
7.651874779444259866e-01,1.717019107141329926e+01,3.925943001365578500e+00,1.872736704546374753e+00,-2.835281821910665467e+00,3.058173972596751611e-01
2.354507850449829132e+00,1.812421433078502631e+01,1.273654996003429352e+00,-1.083567397530524445e+00,1.672974877734662247e+00,-3.253359527879713831e+00
2.282475545182201415e+00,1.986458118654870120e+01,3.839818409276114952e+00,1.435878136164134400e+00,1.098214828442400259e+00,3.017663015289935746e+00
7.835051557560673841e-01,2.074284607032021199e+01,6.346788641911774498e+00,7.076373758126814906e-01,-1.835140447538550657e+00,1.631501862934638281e+00
8.123703672522983865e-01,1.717496805098177504e+01,8.924914558262280195e+00,2.383145146334999520e+00,1.229908639688466865e+00,-1.652260398835084798e-01
2.313841704313158054e+00,1.815142446936042475e+01,6.450884353845636632e+00,2.238273702824967071e+00,-4.237437277981017658e+00,-2.686906567692284309e+00
2.404646769993486810e+00,1.997789609974154601e+01,8.992038082448098990e+00,2.331950011360771902e-01,-2.525362385753590733e+00,-3.519300815615248101e+00
7.662944803653829462e-01,2.085112614335100645e+01,1.148962797996447804e+01,2.044456192234091751e-01,-6.630849895050070497e-01,2.295647315501302188e+00
7.686959348959367944e-01,1.717072317085620270e+01,1.420766420126480511e+01,1.121374286845028934e+00,-5.174803819707365360e-01,-1.198983251201254818e+00
2.385882322101623654e+00,1.796435207528015709e+01,1.149811361983886293e+01,3.865794003377366117e+00,-2.444980167689407846e+00,-1.837858448771713338e+00
2.332618028540291100e+00,1.992866409892069157e+01,1.420692513903164667e+01,2.399845875087653901e+00,4.316399810429134565e-01,-1.921526243812940793e+00
8.378738753964738439e-01,2.078473066879008258e+01,1.671209638079883320e+01,1.499577580985986591e+00,-2.062971841643881810e+00,1.933179358680606308e+00
7.374475170756986664e-01,1.725079460302100287e+01,1.920286524970314090e+01,5.144048981878562854e-01,-5.722186635091061069e-01,2.059507200306068597e+00
2.336090734176114125e+00,1.799399889006266307e+01,1.667711367347834539e+01,2.569943262898259917e-01,1.856733308050840803e-01,6.952325763152448213e-01
2.400859451901897312e+00,1.982660903886154102e+01,1.920667293624448746e+01,-3.823029603065360327e+00,2.178943288051325311e+00,-2.300001448689113381e+00
7.860842147904886223e-01,2.081939830329570640e+01,2.175027611844421926e+01,-2.681559866137944725e-01,-2.193952447758318325e+00,-1.161341561482475360e+00
8.134792953640348490e-01,1.718720637733706624e+01,2.435716760621404120e+01,-1.219345602536018536e+00,-1.435297140682968431e+00,-8.291743902322143978e-01
2.422946276597545801e+00,1.812604767619765767e+01,2.179261023972490108e+01,-2.498349301029358926e-01,-1.030793835688033289e+00,-5.432940631148539534e-01
2.343516867527104974e+00,1.988279491152432499e+01,2.426446257714575339e+01,4.994026461350820068e-01,-3.069429157091701388e+00,7.659193108820541163e-01
8.133303994330519648e-01,2.629308873167909155e+01,1.312633229505120624e+00,5.946042450877353502e+00,-3.537302025221050528e+00,5.219582023274979221e+00
8.699003436946671775e-01,2.259293327708152077e+01,3.757525413408246084e+00,-9.888011549382784704e-01,7.428505846217094977e-01,-1.673220220397966918e+00
2.376643280797283708e+00,2.362780446022063074e+01,1.199290490394236075e+00,1.812924738596566776e+00,1.139499205121824676e+00,9.180282170847416934e-01
2.331873404857918164e+00,2.532244532191505471e+01,3.846212558233191636e+00,1.065086234890862543e-01,-6.233550564677834416e+00,-1.886768181004486733e+00
8.180488923077171570e-01,2.628227812988143341e+01,6.337475191583411771e+00,-2.750532579035166680e+00,1.874427812011628447e+00,-2.163183438218667209e+00
7.904087796958298995e-01,2.264920498677273031e+01,8.896696305808410088e+00,-4.383055840412923843e-01,4.396551661716267212e+00,-3.533593053415758689e+00
2.333821111512836222e+00,2.348858312264426473e+01,6.375075117621618936e+00,-2.954484037536447616e+00,5.197855317533814912e-01,-1.534524239963640069e+00
2.382161639088403504e+00,2.534570910967210722e+01,8.885145089831624432e+00,3.798463598509573824e-01,-3.315193241029259941e+00,1.758586709427832462e+00
8.543728352533564996e-01,2.622565059390579378e+01,1.141473625157579086e+01,2.953039369635284128e+00,-5.886457037028569594e+00,8.012886383695341785e-02
8.050952944705856984e-01,2.265845100774409104e+01,1.409246791446209812e+01,-4.272707508873805349e-01,1.406885661133655097e+00,4.093595567209732944e-01
2.441634602648798946e+00,2.368325056959348984e+01,1.157325018526809401e+01,1.285238758890322464e-02,-3.119960549534100291e+00,-1.532971292189635459e-01
2.309978465363997202e+00,2.540472510108757831e+01,1.408471107208242934e+01,-2.219541257262562517e-01,1.126171624071820920e+00,2.816691922049202823e+00
8.912628495243650750e-01,2.608627487800550426e+01,1.664386311355268688e+01,-2.496153806894568505e-01,2.459012298628863391e+00,-1.848311347215084055e+00
7.543016732673945013e-01,2.267373124555309261e+01,1.921103075318927722e+01,2.415011151943889267e+00,-2.889985027325839173e+00,1.683944133919814456e+00
2.346699209371814199e+00,2.341377760091653215e+01,1.659826113601074127e+01,1.368166194741415320e-01,1.439033140167897962e+00,1.979473622695729906e+00
2.300413122989496184e+00,2.538472193462024507e+01,1.930193862482623501e+01,1.745408877655130864e+00,5.466313606847764461e+00,-4.329605657457206713e-01
6.926390401572017907e-01,2.636127636316678036e+01,2.178420141146228417e+01,6.614330916046373687e-01,2.213742502633404108e+00,-5.935734095672691168e+00
6.549887867852195455e-01,2.266345651636127556e+01,2.428315731617501783e+01,-4.803500241916695002e-01,9.184598144111522089e-01,1.142235314438762472e+00
2.353469840451357875e+00,2.353955015300716624e+01,2.183882737880734481e+01,1.812024584136058269e+00,3.175569453342276027e+00,-7.074440785963884704e-01
2.268400308007715527e+00,2.534706808457426774e+01,2.431773174693664430e+01,-1.827338098552343082e+00,-5.410511625454172524e+00,-1.240389185437690278e+00
3.870743780411235679e+00,4.513264466745513737e+00,1.248416341375865102e+00,3.565130840925875289e-01,1.062833540576399782e+00,-1.045851962746032093e+00
3.921074471176162479e+00,8.541560699933805623e-01,3.731311429527368606e+00,-5.644527455794481341e-01,2.852286622454918152e-01,-3.186672786185817952e-02
5.467575285097843185e+00,1.784287887590790600e+00,1.193701002346843509e+00,9.952049642352370218e-02,-1.817930318369293863e+00,-1.257874289163593229e+00
5.422840528944872673e+00,3.610642893002532716e+00,3.787102782417302915e+00,-1.258983791010616082e+00,-3.917429700976768459e+00,-8.701936683601472211e-01
3.859103842615473567e+00,4.510914359178918254e+00,6.393144456204471915e+00,-2.121543106133072065e+00,5.518887167623621748e-01,7.144030894407900067e-01
3.925979717165322569e+00,8.582211861795043806e-01,9.084161128912219496e+00,5.941906817842305261e-02,1.158773516938601755e+00,-3.160109177389724078e+00
5.420409862232299147e+00,1.811916755422658731e+00,6.384919777980433864e+00,5.631685363994556326e+00,9.669115126006615490e-01,1.900120909512158063e+00
5.413940251262627790e+00,3.538528673305577854e+00,8.998184933365404703e+00,2.185271294531469621e+00,4.479255920239038957e+00,1.213832743522391233e+00
3.996060592281342583e+00,4.628509932463271248e+00,1.163869365460157113e+01,-9.884666840463649518e-01,-2.272395384403047114e+00,-2.629437926939843351e+00
4.020276098589128821e+00,8.659576146050944612e-01,1.413403866092889061e+01,-7.863243629517090438e-01,-3.438533144260759400e+00,-3.302608777704103105e+00
5.586796967171015815e+00,1.744558848853296151e+00,1.151418476910554745e+01,1.198427110631326231e+00,-4.006389520295129181e+00,1.189571761448405596e+00
5.483108749317982422e+00,3.667649067535529106e+00,1.416107932838071903e+01,-1.989194643644100813e+00,-3.448183682205832046e+00,1.478478150137268576e+00
3.877918452625006562e+00,4.471201932040773208e+00,1.668381169715273415e+01,8.394420522803852647e-01,-2.367113954747953386e+00,-1.569503192774893918e+00
3.871405249483914623e+00,8.354774280734422742e-01,1.922606345503889003e+01,1.788766660200132641e+00,2.578030430771117931e+00,-1.479433785305839244e+00
