x,y,z,vx,vy,vz
8.872416110098945152e-01,4.973497755893115269e+00,1.390295512433111780e+00,-3.271266459008687066e-01,2.748423218018078429e-01,1.377914065152317791e-01
8.413083348730738820e-01,1.027054354753225152e+00,4.238671536413614938e+00,1.353511808708032227e-01,-3.355541457639879543e-01,3.286942126801408737e-01
2.628388972408619573e+00,2.027956621371883816e+00,1.421539229930630199e+00,-2.378500546981411612e-01,8.707508651529075050e-02,-5.860903312088496658e-02
2.584752553162538380e+00,4.012100704497883363e+00,4.226286588601931626e+00,3.748423218608342156e-01,2.629965367358565176e-03,7.855632601567766882e-01
8.192950944154824278e-01,4.979477297326281970e+00,7.100682585868640651e+00,2.830315950717951501e-01,-3.459071466111025006e-01,-1.083238269767186485e-01
8.762648229961945701e-01,9.954002189217302510e-01,9.870360218646526462e+00,-3.251756705143040160e-01,-5.825446623705213822e-01,3.303798261370780032e-01
2.553128251945838034e+00,2.058776105043828242e+00,7.055441204209944139e+00,8.341843071405842247e-01,4.974515585245045668e-01,-4.218960115536303512e-03
2.593486208111672742e+00,4.059627479743151746e+00,9.899326869447014232e+00,1.091404701864668647e+00,9.880541683337380476e-01,-5.776347775017363073e-01
8.486904020363496004e-01,5.005142433911490052e+00,1.271495861007326944e+01,7.202168832313450286e-01,-2.357078844440922000e-02,3.946804759729652945e-01
8.689484994719791633e-01,9.757279676995752604e-01,1.553054512473167392e+01,-1.931251393324958376e-01,5.737064500635030706e-01,-1.009322221849102696e-01
2.647400915680388156e+00,2.004925258334540494e+00,1.271969868730927722e+01,6.612914070766252594e-01,6.235529435759861183e-01,5.278162647662606455e-01
2.624949950775848251e+00,4.009821128849265115e+00,1.555563975414772138e+01,-6.522087851661095836e-01,-1.471762295437627766e-01,-3.368759159530121394e-01
8.576148414843208778e-01,4.987356520589693254e+00,1.841442759483653191e+01,3.470307884805372001e-01,-1.708525875580723663e-01,-3.047793684844387063e-01
8.155891023524718397e-01,1.029211113071412775e+00,2.122016562492687797e+01,-6.636113241171084920e-02,2.779113338088570195e-01,4.822487985770710361e-01
2.619589242578965305e+00,2.000481666658851854e+00,1.843511034562721562e+01,2.881991753982882654e-01,1.045875432296545116e+00,3.527567138049870765e-01
2.614842082705436610e+00,4.048129819371805382e+00,2.124648537352689814e+01,-1.141569166588303208e-01,1.829763621714096677e-01,-2.393234583448773378e-01
8.570995962682789182e-01,5.032795852547380377e+00,2.406614857335586066e+01,-1.823209923843088776e-01,1.207983643646998173e-01,4.512145138669663158e-01
7.968193380005025306e-01,1.055869688133146855e+00,2.690960251500918332e+01,-9.025901558947058145e-01,-2.032563315233303358e-01,2.755958833447570699e-03
2.547114643633753950e+00,2.020739057139990802e+00,2.404031659966955559e+01,4.941948306114876677e-01,5.910895273680745188e-01,4.942439213550532395e-01
