x,y,z,vx,vy,vz
1.042932867194006796e+00,5.920520811541157613e+00,1.744404642056424759e+00,-1.894170349081029658e-01,-6.151683275535074769e-01,-5.550782263572097419e-02
9.415046676944738291e-01,1.200921243719000664e+00,5.317454931634968851e+00,-5.964230815138391595e-01,-1.783395659935831934e-01,3.495634993869204399e-01
3.034629067541374070e+00,2.361068743975670792e+00,1.500409386383789068e+00,-1.922722676663480013e-01,5.231017759791225519e-01,-6.511419682796327768e-01
2.992283193856807522e+00,4.720473559187356116e+00,5.202550825119671707e+00,-2.842931349250817363e-01,-7.377858208137467733e-01,-4.258763682804748152e-01
1.026812871667830640e+00,5.899300698942293586e+00,8.480492653497803346e+00,-4.406891623961631810e-01,-9.771775880717341323e-02,7.160926238790424336e-02
1.162464799332635357e+00,1.298269700398449134e+00,1.168911031560098479e+01,-6.155324297611101114e-01,-7.446605435481198354e-01,6.810388105034245187e-01
2.952018403400134439e+00,2.500666684908730897e+00,8.277757952268121500e+00,-4.114511302319951991e-01,8.597238848522008592e-01,1.269537516447304948e-01
3.053627333834712854e+00,4.530871900257945839e+00,1.164163135345790856e+01,7.584213242422475076e-01,1.379714866370202950e-02,-4.350505438878148057e-02
1.052986275936617755e+00,6.067671103087016071e+00,1.515584001212234355e+01,-1.320191093444155750e-01,-2.269586855880776632e-01,2.392289237654695033e-01
8.964821076919808895e-01,1.196058050793444849e+00,1.840744831479931776e+01,-5.368178856654943765e-01,9.794898506422220485e-01,-1.552570395815061399e+00
2.799007627575615498e+00,2.307853876473468180e+00,1.536118354700928634e+01,3.387979098560169045e-02,-2.260489259932285666e-01,1.571998163833658591e-01
3.154204855701002508e+00,4.770652693928441934e+00,1.846619216625385462e+01,-2.459113484294425667e-01,-4.816896025325445030e-01,9.748220828978352293e-01
1.066680722654591795e+00,5.970835763410831554e+00,2.187742735633607438e+01,-3.622707846930137837e-02,7.155338222193975417e-01,-4.851859727605967731e-01
1.001388012886632595e+00,1.273712991991329258e+00,2.517672965028161158e+01,-2.055482158931375702e-01,9.162970165508144138e-01,-4.722592325109270517e-01
2.997786085200643935e+00,2.573632493301250435e+00,2.194142594288783954e+01,-1.389971554295880596e+00,3.015667617123132804e-01,-3.545521213495482771e-01
