a,total_energy,error
2.643200000000000216e+00,2.498425974045018665e+04,9.893874675703834276e-02
2.808399999999999785e+00,9.743076620347490461e+03,8.642495494617169483e-02
2.973599999999999799e+00,3.351952835651468376e+03,9.823534505215379686e-02
3.138799999999999812e+00,6.894079901142182507e+02,1.254324449969896338e-01
3.303999999999999826e+00,-3.617864625688033584e+02,1.087293527382241082e-01
3.469199999999999839e+00,-7.204904980520826712e+02,9.772808867240966035e-02
3.634400000000000297e+00,-7.926896290399398595e+02,1.438699502984142342e-01
3.799599999999999422e+00,-7.349251147121258327e+02,1.170141521001088619e-01
3.964799999999999436e+00,-6.439630184090505054e+02,1.395319615613863917e-01
